Region,Grand_Total,Male,Female,Aged_0-14_T,Aged_0-14_M,Aged_0-14_F,Aged_0-14_¢H,Aged_15-64_T,Aged_15-64_M,Aged_15-64_F,Aged_15-64_¢H,Aged_65¡Ï_T,Aged_65¡Ï_M,Aged_65¡Ï_F,Aged_65¡Ï_¢H,Aged_20-49_T,Aged_20¡Ï
National,23299132,11462401,11836731,2681890,1388039,1293851,11.51,15944087,7970666,7973421,68.43,4673155,2103696,2569459,20.06,9708349,19644140
New_Taipei_City,4044831,1961619,2083212,434896,224098,210798,10.75,2803045,1382894,1420151,69.3,806890,354627,452263,19.95,1698289,3444923
Taipei_City,2439507,1148819,1290688,291898,150541,141357,11.97,1557808,741546,816262,63.86,589801,256732,333069,24.18,924136,2052330
Taoyuan_City,2355106,1158094,1197012,309240,160057,149183,13.13,1652098,821237,830861,70.15,393768,176800,216968,16.72,1040819,1939264
Taichung_City,2868465,1398055,1470410,365726,189438,176288,12.75,2003710,984664,1019046,69.85,499029,223953,275076,17.4,1253374,2374296
Tainan_City,1852477,917451,935026,205107,106428,98679,11.07,1267994,637380,630614,68.45,379376,173643,205733,20.48,770083,1573082
Kaohsiung_City,2718545,1329197,1389348,294248,152471,141777,10.82,1859042,925674,933368,68.38,565255,251052,314203,20.79,1120548,2316651
Taiwan_Province,6867267,3472069,3395198,768748,398710,370038,11.19,4689245,2421029,2268216,68.28,1409274,652330,756944,20.52,2835665,5808460
Yilan_County,449336,225017,224319,49210,25504,23706,10.95,306787,156424,150363,68.28,93339,43089,50250,20.77,182937,381822
Hsinchu_County,597235,303826,293409,88421,45718,42703,14.81,418734,215193,203541,70.11,90080,42915,47165,15.08,264118,478809
Miaoli_County,531172,272809,258363,59856,30897,28959,11.27,363840,190806,173034,68.5,107476,51106,56370,20.23,222334,448267
Changhua_County,1210206,613513,596693,138243,72021,66222,11.42,825402,427208,398194,68.2,246561,114284,132277,20.37,510638,1019682
Nantou_County,467881,237579,230302,47202,24559,22643,10.09,314646,163165,151481,67.25,106033,49855,56178,22.66,186199,402113
Yunlin_County,650989,334243,316746,68500,35308,33192,10.52,440843,232825,208018,67.72,141646,66110,75536,21.76,264661,555607
Chiayi_County,473181,244656,228525,39106,20266,18840,8.26,320006,170137,149869,67.63,114069,54253,59816,24.11,186874,416797
Pingtung_County,782256,395140,387116,78127,40513,37614,9.99,533250,275806,257444,68.17,170879,78821,92058,21.84,317323,674769
Taitung_County,208320,105848,102472,22389,11645,10744,10.75,142338,74447,67891,68.33,43593,19756,23837,20.93,83256,177316
Hualien_County,312807,156629,156178,33562,17551,16011,10.73,211943,108595,103348,67.76,67302,30483,36819,21.52,125277,266399
Penghu_County,106716,54574,52142,10033,5193,4840,9.4,74244,38777,35467,69.57,22439,10604,11835,21.03,45314,92575
Keelung_City,359836,178300,181536,33377,17294,16083,9.28,246283,124998,121285,68.44,80176,36008,44168,22.28,144186,313035
Hsinchu_City,455740,224870,230870,69075,35897,33178,15.16,313035,156581,156454,68.69,73630,32392,41238,16.16,195506,363323
Chiayi_City,261592,125065,136527,31647,16344,15303,12.1,177894,86067,91827,68,52051,22654,29397,19.9,107042,217946
Fujian_Province,152934,77097,75837,12027,6296,5731,7.86,111145,56242,54903,72.68,29762,14559,15203,19.46,65435,135134
Kinmen_County,139313,69184,70129,10732,5597,5135,7.7,101153,50323,50830,72.61,27428,13264,14164,19.69,59281,123365
Lienchiang_County,13621,7913,5708,1295,699,596,9.51,9992,5919,4073,73.36,2334,1295,1039,17.14,6154,11769
